Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Denmark,Bioenergy,Electricity capacity (MW),242.00,300.50,403.00,511.50,693.00,802.00,665.50,508.50,778.50,938.50,1097.76,1145.10,1375.68,1184.95,1247.75,1243.45,1304.57,1791.27,1774.25,1791.27,1785.49,1778.49,
Denmark,Solid biofuels,Electricity capacity (MW),201.00,253.50,350.00,453.50,630.00,737.00,604.50,449.50,704.50,861.50,1017.76,1068.10,1295.89,1084.78,1151.96,1138.95,1197.67,1683.14,1666.12,1683.14,1666.12,1659.12,
Denmark,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Denmark,Renewable municipal waste,Electricity capacity (MW),115.00,120.50,135.00,142.50,156.00,153.00,149.50,116.50,151.50,156.50,149.52,147.45,140.34,166.06,162.60,165.53,165.98,181.88,181.46,181.88,181.46,176.46,
Denmark,Other solid biofuels,Electricity capacity (MW),86.00,133.00,215.00,311.00,474.00,584.00,455.00,333.00,553.00,705.00,868.24,920.65,1155.55,918.72,989.36,973.41,1031.70,1501.26,1484.66,1501.26,1484.66,1482.66,
Denmark,Liquid biofuels,Electricity capacity (MW),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.96,0.00,0.76,0.36,0.51,0.51,0.51,0.20,0.20,
Denmark,Biogas,Electricity capacity (MW),41.00,47.00,53.00,58.00,63.00,65.00,61.00,59.00,74.00,77.00,80.00,77.00,79.79,93.21,95.79,103.75,106.54,107.62,107.62,107.62,119.17,119.17,
Denmark,Geothermal,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Estonia,Total renewable energy,Electricity capacity (MW),7.00,7.00,10.00,18.00,22.00,48.00,48.00,67.00,94.00,171.10,256.10,334.20,441.38,518.50,561.34,593.50,607.00,615.10,608.55,715.50,828.67,988.70,
Estonia,Hydropower,Electricity capacity (MW),2.00,2.00,3.00,4.00,4.00,5.00,5.00,5.00,5.00,7.00,6.00,5.00,8.00,8.00,5.00,6.00,6.00,7.30,7.30,6.00,8.00,9.00,
